"","question","answer","notion"
"401","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"402","NQ3. I think there is too much inconsistency in this notation.","Strongly Disagree","negative"
"403","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"404","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"405","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"406","PQ4. I would imagine that most people would learn to use this notation very quickly.","Neutral","positive"
"407","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"408","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"409","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"410","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"411","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"412","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"413","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"414","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"415","PQ4. I would imagine that most people would learn to use this notation very quickly.","Disagree","positive"
"416","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"417","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"418","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"419","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"420","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"421","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"422","PQ4. I would imagine that most people would learn to use this notation very quickly.","Disagree","positive"
"423","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Disagree","positive"
"424","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"425","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"426","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"427","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"428","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"429","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"430","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"431","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"432","PQ4. I would imagine that most people would learn to use this notation very quickly.","Neutral","positive"
"433","PQ4. I would imagine that most people would learn to use this notation very quickly.","Neutral","positive"
"434","PQ4. I would imagine that most people would learn to use this notation very quickly.","Neutral","positive"
"435","PQ4. I would imagine that most people would learn to use this notation very quickly.","Disagree","positive"
"436","PQ4. I would imagine that most people would learn to use this notation very quickly.","Neutral","positive"
"437","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"438","PQ4. I would imagine that most people would learn to use this notation very quickly.","Disagree","positive"
"439","PQ4. I would imagine that most people would learn to use this notation very quickly.","Neutral","positive"
"440","PQ4. I would imagine that most people would learn to use this notation very quickly.","Disagree","positive"
"441","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"442","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Disagree","positive"
"443","PQ4. I would imagine that most people would learn to use this notation very quickly.","Disagree","positive"
"444","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"445","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"446","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"447","PQ4. I would imagine that most people would learn to use this notation very quickly.","Neutral","positive"
"448","PQ4. I would imagine that most people would learn to use this notation very quickly.","Neutral","positive"
"449","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"450","PQ4. I would imagine that most people would learn to use this notation very quickly.","Neutral","positive"
"451","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"452","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"453","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"454","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"455","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"456","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"457","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"458","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"459","PQ4. I would imagine that most people would learn to use this notation very quickly.","Neutral","positive"
"460","PQ4. I would imagine that most people would learn to use this notation very quickly.","Neutral","positive"
"461","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"462","PQ4. I would imagine that most people would learn to use this notation very quickly.","Neutral","positive"
"463","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"464","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"465","PQ4. I would imagine that most people would learn to use this notation very quickly.","Disagree","positive"
"466","PQ4. I would imagine that most people would learn to use this notation very quickly.","Agree","positive"
"467","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"468","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"469","PQ4. I would imagine that most people would learn to use this notation very quickly.","Strongly Agree","positive"
"470","NQ4. I would find the notation very cumbersome to use.","Agree","negative"
"471","NQ4. I would find the notation very cumbersome to use.","Agree","negative"
"472","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"473","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"474","NQ4. I would find the notation very cumbersome to use.","Neutral","negative"
"475","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"476","NQ4. I would find the notation very cumbersome to use.","Agree","negative"
"477","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"478","NQ4. I would find the notation very cumbersome to use.","Strongly Agree","negative"
"479","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"480","NQ4. I would find the notation very cumbersome to use.","Neutral","negative"
"481","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"482","NQ4. I would find the notation very cumbersome to use.","Agree","negative"
"483","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"484","NQ4. I would find the notation very cumbersome to use.","Agree","negative"
"485","NQ4. I would find the notation very cumbersome to use.","Neutral","negative"
"486","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"487","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"488","NQ4. I would find the notation very cumbersome to use.","Neutral","negative"
"489","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"490","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"491","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"492","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"493","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"494","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"495","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"496","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"497","NQ4. I would find the notation very cumbersome to use.","Neutral","negative"
"498","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"499","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"500","NQ4. I would find the notation very cumbersome to use.","Strongly Agree","negative"
"501","NQ4. I would find the notation very cumbersome to use.","Agree","negative"
"502","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"503","NQ4. I would find the notation very cumbersome to use.","Agree","negative"
"504","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"505","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"506","NQ4. I would find the notation very cumbersome to use.","Neutral","negative"
"507","NQ4. I would find the notation very cumbersome to use.","Strongly Agree","negative"
"508","NQ4. I would find the notation very cumbersome to use.","Neutral","negative"
"509","NQ4. I would find the notation very cumbersome to use.","Strongly Agree","negative"
"510","NQ4. I would find the notation very cumbersome to use.","Strongly Agree","negative"
"511","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"512","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"513","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"514","NQ4. I would find the notation very cumbersome to use.","Neutral","negative"
"515","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"516","NQ4. I would find the notation very cumbersome to use.","Agree","negative"
"517","NQ4. I would find the notation very cumbersome to use.","Neutral","negative"
"518","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"519","NQ4. I would find the notation very cumbersome to use.","Neutral","negative"
"520","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"521","NQ4. I would find the notation very cumbersome to use.","Agree","negative"
"522","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"523","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"524","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"525","NQ4. I would find the notation very cumbersome to use.","Agree","negative"
"526","NQ4. I would find the notation very cumbersome to use.","Neutral","negative"
"527","NQ4. I would find the notation very cumbersome to use.","Agree","negative"
"528","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"529","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"530","NQ4. I would find the notation very cumbersome to use.","Strongly Agree","negative"
"531","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"532","NQ4. I would find the notation very cumbersome to use.","Agree","negative"
"533","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"534","NQ4. I would find the notation very cumbersome to use.","Strongly Disagree","negative"
"535","NQ4. I would find the notation very cumbersome to use.","Disagree","negative"
"536","NQ4. I would find the notation very cumbersome to use.","Agree","negative"
"537","PQ5. I would feel very confident using the notation.","Neutral","positive"
"538","PQ5. I would feel very confident using the notation.","Strongly Agree","positive"
"539","PQ5. I would feel very confident using the notation.","Strongly Agree","positive"
"540","PQ5. I would feel very confident using the notation.","Agree","positive"
"541","PQ5. I would feel very confident using the notation.","Agree","positive"
"542","PQ5. I would feel very confident using the notation.","Agree","positive"
"543","PQ5. I would feel very confident using the notation.","Strongly Agree","positive"
"544","PQ5. I would feel very confident using the notation.","Strongly Agree","positive"
"545","PQ5. I would feel very confident using the notation.","Neutral","positive"
"546","PQ5. I would feel very confident using the notation.","Strongly Agree","positive"
"547","PQ5. I would feel very confident using the notation.","Disagree","positive"
"548","PQ5. I would feel very confident using the notation.","Agree","positive"
"549","PQ5. I would feel very confident using the notation.","Neutral","positive"
"550","PQ5. I would feel very confident using the notation.","Agree","positive"
"551","PQ5. I would feel very confident using the notation.","Strongly Agree","positive"
"552","PQ5. I would feel very confident using the notation.","Strongly Agree","positive"
"553","PQ5. I would feel very confident using the notation.","Agree","positive"
"554","PQ5. I would feel very confident using the notation.","Neutral","positive"
"555","PQ5. I would feel very confident using the notation.","Strongly Agree","positive"
"556","PQ5. I would feel very confident using the notation.","Agree","positive"
"557","PQ5. I would feel very confident using the notation.","Strongly Disagree","positive"
"558","PQ5. I would feel very confident using the notation.","Agree","positive"
"559","PQ5. I would feel very confident using the notation.","Agree","positive"
"560","PQ5. I would feel very confident using the notation.","Strongly Agree","positive"
"561","PQ5. I would feel very confident using the notation.","Agree","positive"
"562","PQ5. I would feel very confident using the notation.","Neutral","positive"
"563","PQ5. I would feel very confident using the notation.","Agree","positive"
"564","PQ5. I would feel very confident using the notation.","Neutral","positive"
"565","PQ5. I would feel very confident using the notation.","Agree","positive"
"566","PQ5. I would feel very confident using the notation.","Agree","positive"
"567","PQ5. I would feel very confident using the notation.","Neutral","positive"
"568","PQ5. I would feel very confident using the notation.","Disagree","positive"
"569","PQ5. I would feel very confident using the notation.","Agree","positive"
"570","PQ5. I would feel very confident using the notation.","Agree","positive"
"571","PQ5. I would feel very confident using the notation.","Strongly Agree","positive"
"572","PQ5. I would feel very confident using the notation.","Neutral","positive"
"573","PQ5. I would feel very confident using the notation.","Agree","positive"
"574","PQ5. I would feel very confident using the notation.","Disagree","positive"
"575","PQ5. I would feel very confident using the notation.","Agree","positive"
"576","PQ5. I would feel very confident using the notation.","Neutral","positive"
"577","PQ5. I would feel very confident using the notation.","Disagree","positive"
"578","PQ5. I would feel very confident using the notation.","Strongly Agree","positive"
"579","PQ5. I would feel very confident using the notation.","Strongly Agree","positive"
"580","PQ5. I would feel very confident using the notation.","Agree","positive"
"581","PQ5. I would feel very confident using the notation.","Neutral","positive"
"582","PQ5. I would feel very confident using the notation.","Neutral","positive"
"583","PQ5. I would feel very confident using the notation.","Strongly Agree","positive"
"584","PQ5. I would feel very confident using the notation.","Agree","positive"
"585","PQ5. I would feel very confident using the notation.","Agree","positive"
"586","PQ5. I would feel very confident using the notation.","Agree","positive"
"587","PQ5. I would feel very confident using the notation.","Strongly Agree","positive"
"588","PQ5. I would feel very confident using the notation.","Neutral","positive"
"589","PQ5. I would feel very confident using the notation.","Strongly Agree","positive"
"590","PQ5. I would feel very confident using the notation.","Agree","positive"
"591","PQ5. I would feel very confident using the notation.","Neutral","positive"
"592","PQ5. I would feel very confident using the notation.","Agree","positive"
"593","PQ5. I would feel very confident using the notation.","Disagree","positive"
"594","PQ5. I would feel very confident using the notation.","Neutral","positive"
"595","PQ5. I would feel very confident using the notation.","Strongly Agree","positive"
"596","PQ5. I would feel very confident using the notation.","Strongly Agree","positive"
"597","PQ5. I would feel very confident using the notation.","Agree","positive"
"598","PQ5. I would feel very confident using the notation.","Strongly Agree","positive"
"599","PQ5. I would feel very confident using the notation.","Neutral","positive"
"600","PQ5. I would feel very confident using the notation.","Agree","positive"
"601","PQ5. I would feel very confident using the notation.","Strongly Agree","positive"
"602","PQ5. I would feel very confident using the notation.","Strongly Agree","positive"
"603","PQ5. I would feel very confident using the notation.","Strongly Agree","positive"
"604","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"605","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"606","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"607","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"608","NQ5. I would need to learn a lot of things before I could get going with this notation.","Disagree","negative"
"609","NQ5. I would need to learn a lot of things before I could get going with this notation.","Disagree","negative"
"610","NQ5. I would need to learn a lot of things before I could get going with this notation.","Neutral","negative"
"611","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"612","NQ5. I would need to learn a lot of things before I could get going with this notation.","Agree","negative"
"613","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"614","NQ5. I would need to learn a lot of things before I could get going with this notation.","Disagree","negative"
"615","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"616","NQ5. I would need to learn a lot of things before I could get going with this notation.","Disagree","negative"
"617","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"618","NQ5. I would need to learn a lot of things before I could get going with this notation.","Agree","negative"
"619","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"620","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"621","NQ5. I would need to learn a lot of things before I could get going with this notation.","Disagree","negative"
"622","NQ5. I would need to learn a lot of things before I could get going with this notation.","Neutral","negative"
"623","NQ5. I would need to learn a lot of things before I could get going with this notation.","Disagree","negative"
"624","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Agree","negative"
"625","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"626","NQ5. I would need to learn a lot of things before I could get going with this notation.","Disagree","negative"
"627","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"628","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"629","NQ5. I would need to learn a lot of things before I could get going with this notation.","Disagree","negative"
"630","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"631","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"632","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"633","NQ5. I would need to learn a lot of things before I could get going with this notation.","Disagree","negative"
"634","NQ5. I would need to learn a lot of things before I could get going with this notation.","Neutral","negative"
"635","NQ5. I would need to learn a lot of things before I could get going with this notation.","Agree","negative"
"636","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"637","NQ5. I would need to learn a lot of things before I could get going with this notation.","Disagree","negative"
"638","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"639","NQ5. I would need to learn a lot of things before I could get going with this notation.","Disagree","negative"
"640","NQ5. I would need to learn a lot of things before I could get going with this notation.","Disagree","negative"
"641","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"642","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"643","NQ5. I would need to learn a lot of things before I could get going with this notation.","Agree","negative"
"644","NQ5. I would need to learn a lot of things before I could get going with this notation.","Disagree","negative"
"645","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"646","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"647","NQ5. I would need to learn a lot of things before I could get going with this notation.","Neutral","negative"
"648","NQ5. I would need to learn a lot of things before I could get going with this notation.","Disagree","negative"
"649","NQ5. I would need to learn a lot of things before I could get going with this notation.","Neutral","negative"
"650","NQ5. I would need to learn a lot of things before I could get going with this notation.","Neutral","negative"
"651","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"652","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"653","NQ5. I would need to learn a lot of things before I could get going with this notation.","Disagree","negative"
"654","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"655","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"656","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"657","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"658","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"659","NQ5. I would need to learn a lot of things before I could get going with this notation.","Disagree","negative"
"660","NQ5. I would need to learn a lot of things before I could get going with this notation.","Agree","negative"
"661","NQ5. I would need to learn a lot of things before I could get going with this notation.","Neutral","negative"
"662","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"663","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"664","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"665","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"666","NQ5. I would need to learn a lot of things before I could get going with this notation.","Neutral","negative"
"667","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"668","NQ5. I would need to learn a lot of things before I could get going with this notation.","Strongly Disagree","negative"
"669","NQ5. I would need to learn a lot of things before I could get going with this notation.","Disagree","negative"
"670","NQ5. I would need to learn a lot of things before I could get going with this notation.","Disagree","negative"
